insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (1, Eilat, 9, 3-11-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (2, Eilat, 20, 18-4-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (3, Jerusalem, 20, 29-12-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (4, Haifa, 19, 26-4-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (5, Beer-sheva, 16, 26-5-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (6, Beer-sheva, 11, 24-4-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (7, Jerusalem, 7, 12-11-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (8, Tel-Aviv, 16, 25-11-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (9, Holon, 5, 19-6-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (10, Holon, 13, 19-6-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (11, Haifa, 14, 20-7-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (12, Beer-sheva, 2, 17-3-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (13, Eilat, 21, 29-4-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (14, Beer-sheva, 0, 28-8-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (15, Holon, 0, 1-7-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (16, Jerusalem, 17, 20-12-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (17, Beer-sheva, 17, 18-1-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (18, Eilat, 16, 13-5-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (19, Jerusalem, 8, 28-1-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (20, Tel-Aviv, 6, 17-7-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (21, Beer-sheva, 16, 8-11-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (22, Beer-sheva, 1, 25-4-2019);

insert into YZADIK.TRAIN_LINE (LINE_NUMBER, EXIT_STATION, TIMING, DATING)
values (23, Beer-sheva, 12, 9-1-2019);

